pos_count,neg_count,pos_emo,neg_emo,len_score,sentiment
1,0,0,0,0,Negative
0,0,0,0,0,Negative
0,0,0,0,0,Negative
0,0,0,0,0,Positive
0,0,0,0,0,Positive
0,0,0,0,0,Negative
0,0,0,0,0,Negative
0,0,0,0,0,Positive
0,0,0,0,0,Positive
1,0,0,0,0,Positive
0,0,0,0,0,Positive
0,0,0,0,0,Positive
0,0,0,0,0,Negative
0,0,0,0,0,Negative
0,0,0,0,0,Positive
0,0,0,0,0,Positive
0,0,0,0,0,Positive
2,0,0,0,0,Positive
2,0,0,0,0,Positive
0,0,0,0,0,Negative
1,0,0,0,0,Positive
1,0,0,0,0,Positive
0,1,0,0,0,Positive
0,1,0,0,0,Positive
1,0,0,0,0,Positive
1,0,0,0,0,Positive
0,0,0,0,0,Positive
0,0,0,0,0,0
1,0,0,0,0,Positive
1,0,0,0,0,Positive
1,0,0,0,0,Positive
1,0,0,0,0,Positive
1,0,0,0,0,Positive
2,0,0,0,0,Positive
2,0,0,0,0,Positive
0,2,0,0,0,Negative
0,2,0,0,0,Negative
0,1,0,0,0,Positive
0,1,0,0,0,Positive
0,2,0,0,0,Negative
0,1,0,0,0,Negative
0,1,0,0,0,Negative
0,0,0,0,0,Negative
0,0,0,0,0,Negative
0,2,0,0,0,Negative
0,2,0,0,0,Negative
1,0,0,0,0,Negative
0,1,0,0,0,Negative
0,1,0,0,0,Negative
0,2,0,0,0,Negative
0,2,0,0,0,Negative
0,1,0,0,0,Positive
0,1,0,0,0,Positive
1,0,0,0,0,Negative
1,0,0,0,0,Negative
1,0,0,0,0,Negative
1,0,0,0,0,Negative
1,0,0,0,0,Positive
1,0,0,0,0,Positive
0,0,0,0,0,Negative
0,0,0,0,0,Negative
0,0,0,0,0,Positive
0,0,0,0,0,Positive
0,0,0,0,0,Negative
0,0,0,0,0,Negative
0,1,0,0,0,Negative
2,0,0,0,0,Positive
2,0,0,0,0,Positive
1,0,0,0,0,Negative
1,0,0,0,0,Negative
0,0,0,0,0,Negative
0,0,0,0,0,Negative
0,0,0,0,0,Negative
0,0,0,0,0,Negative
1,0,0,0,0,Negative
1,0,0,0,0,Negative
0,0,0,0,0,Negative
0,0,0,0,0,Negative
1,0,0,0,0,Positive
1,0,0,0,0,Positive
4,0,0,0,0,Negative
4,0,0,0,0,Negative
0,0,0,0,0,Negative
0,0,0,0,0,Negative
0,0,0,0,0,Negative
3,2,0,0,0,Negative
3,2,0,0,0,Negative
0,0,0,0,0,Negative
0,0,0,0,0,Negative
0,0,0,0,0,Negative
1,0,0,0,0,Negative
1,0,0,0,0,Negative
1,0,0,0,0,Negative
2,0,2,0,0,Positive
2,0,2,0,0,Positive
3,0,0,0,0,Positive
3,0,0,0,0,Positive
0,0,0,0,0,Positive
0,0,0,0,0,Positive
1,1,0,0,0,Positive
1,1,0,0,0,Positive
1,0,0,0,0,Positive
1,0,0,0,0,Positive
0,1,0,0,0,Positive
0,1,0,0,0,Positive
0,1,0,0,0,Negative
0,1,0,0,0,Negative
0,0,0,0,0,Positive
0,0,0,0,0,Positive
0,0,0,0,0,Negative
0,0,0,0,0,Negative
0,0,1,0,0,Positive
0,0,1,0,0,Positive
1,1,0,0,0,Negative
1,0,0,0,0,Negative
1,0,0,0,0,Negative
0,0,0,0,0,Negative
0,0,0,0,0,0
1,1,0,0,0,Negative
1,1,0,0,0,Negative
0,0,0,0,0,Positive
1,0,0,0,0,Negative
0,1,0,0,0,Negative
0,1,0,0,0,Negative
1,0,0,0,0,Positive
1,0,0,0,0,Positive
0,1,0,0,0,Negative
0,0,0,0,0,Negative
1,0,0,0,0,Positive
0,1,0,0,0,Positive
0,1,0,0,0,Positive
1,1,0,0,0,Negative
1,1,0,0,0,Negative
1,0,0,0,0,Positive
1,0,0,0,0,Positive
1,0,0,0,0,Positive
2,0,0,0,0,Negative
1,0,0,0,0,Positive
1,0,0,0,0,Positive
2,0,0,0,0,Positive
2,0,0,0,0,Positive
2,0,0,0,0,Positive
2,0,0,0,0,Positive
1,0,0,0,0,Positive
1,0,0,0,0,Positive
2,0,0,0,0,Positive
2,0,0,0,0,Positive
2,0,0,0,0,Positive
2,0,0,0,0,Positive
1,0,0,0,0,Positive
1,0,0,0,0,Positive
1,0,0,0,0,Negative
1,0,0,0,0,Negative
0,0,0,0,0,Negative
0,0,0,2,0,Negative
2,0,0,0,0,Positive
2,0,0,0,0,Positive
0,1,0,0,0,Positive
0,1,0,0,0,Positive
3,0,0,0,0,Negative
3,0,0,0,0,Negative
2,0,0,0,0,Negative
2,0,0,0,0,Negative
0,0,0,0,0,Positive
0,0,0,0,0,Positive
2,0,0,0,0,Positive
2,0,1,0,0,Positive
1,0,0,0,0,Positive
2,1,0,0,0,Negative
2,1,0,0,0,Negative
2,0,0,0,0,Positive
2,0,0,0,0,Positive
2,0,0,0,0,Positive
2,0,0,0,0,Positive
1,0,0,0,0,Negative
1,0,0,0,0,Negative
2,0,0,0,0,Negative
2,0,0,0,0,Negative
0,1,0,0,0,Negative
0,1,0,0,0,Negative
0,1,0,0,0,Negative
1,0,0,0,0,Positive
1,0,0,0,0,Positive
0,0,0,0,0,Negative
0,0,0,0,0,Negative
1,0,0,0,0,Positive
3,0,0,0,0,Positive
2,0,0,0,0,Positive
2,0,0,0,0,Positive
2,0,0,0,0,Negative
2,0,0,0,0,Negative
1,0,0,0,0,Positive
1,0,0,0,0,Positive
1,0,0,0,0,Positive
1,0,0,0,0,Positive
0,0,0,0,0,Positive
0,0,0,0,0,Positive
0,1,0,0,0,Negative
0,1,0,0,0,Negative
1,1,2,0,0,Positive
1,1,2,0,0,Positive
0,0,0,0,0,Positive
0,0,0,0,0,Positive
2,0,0,0,0,Positive
2,0,0,0,0,Positive
1,0,0,0,0,Positive
1,0,0,0,0,Positive
0,2,0,0,0,Negative
0,2,0,0,0,Negative
0,0,0,0,0,Negative
0,0,0,0,0,Negative
0,0,0,0,0,Positive
0,0,0,0,0,Positive
3,0,0,0,0,Negative
3,0,0,0,0,Negative
0,0,0,0,0,Positive
1,0,0,0,0,Negative
1,0,0,0,0,Negative
1,0,0,0,0,Positive
1,0,0,0,0,Positive
1,0,0,0,0,Negative
1,0,0,0,0,Negative
1,0,0,0,0,Positive
1,0,0,0,0,Positive
2,0,0,0,0,Negative
2,0,0,0,0,Negative
2,0,0,0,0,Positive
2,0,0,0,0,Positive
1,0,0,0,0,Positive
1,0,0,0,0,Positive
0,0,0,0,0,Negative
0,0,0,0,0,Negative
1,2,0,0,0,Negative
1,2,0,0,0,Negative
0,0,0,0,0,Negative
0,0,0,0,0,Negative
1,1,0,0,0,Positive
4,0,0,0,0,Negative
4,0,0,0,0,Negative
1,0,0,0,0,Positive
1,0,0,0,0,Positive
0,0,0,0,0,Positive
0,0,0,0,0,Positive
0,0,0,0,0,Positive
0,0,0,0,0,Positive
1,0,0,0,0,Negative
1,0,0,0,0,Negative
1,0,0,0,0,Positive
1,1,0,0,0,Negative
1,1,0,0,0,Negative
0,0,0,0,0,Positive
0,0,0,0,0,Positive
2,0,0,0,0,Negative
2,0,0,0,0,Negative
0,0,0,0,0,Negative
0,0,0,0,0,Negative
2,2,0,0,0,Negative
2,2,0,0,0,Negative
1,1,0,0,0,Negative
0,0,0,0,0,Negative
0,0,0,0,0,Negative
1,0,0,0,0,Negative
0,0,0,0,0,Positive
1,0,0,0,0,Positive
1,2,0,0,0,Negative
1,2,0,0,0,Negative
1,0,0,0,0,Positive
1,0,0,0,0,Positive
1,0,0,0,0,Positive
2,0,0,0,0,Positive
2,0,0,0,0,Positive
1,0,0,0,0,Negative
0,0,0,0,0,Positive
1,0,0,0,0,Negative
1,0,0,0,0,Negative
2,0,0,0,0,Negative
2,0,0,0,0,Negative
0,1,0,0,0,Negative
0,1,0,0,0,Negative
0,0,0,0,0,Positive
0,0,0,0,0,Positive
1,0,0,0,0,Negative
1,1,0,0,0,Positive
1,1,0,0,0,Positive
2,1,0,0,0,Positive
2,1,0,0,0,Positive
2,1,0,0,0,Negative
2,1,0,0,0,Negative
0,1,0,0,0,Negative
0,1,0,0,0,Negative
0,2,0,0,0,Negative
0,2,0,0,0,Negative
1,0,0,0,0,Positive
5,0,0,0,0,Positive
5,0,0,0,0,Positive
1,0,0,0,0,Positive
1,0,0,0,0,Positive
3,1,0,0,0,Positive
3,1,0,0,0,Positive
1,0,0,0,0,Positive
1,0,0,0,0,Positive
2,0,0,0,0,Positive
2,0,0,0,0,Positive
2,0,0,0,0,Positive
2,0,0,0,0,Positive
0,0,0,0,0,Positive
0,0,0,0,0,Positive
1,0,0,0,0,Positive
1,0,0,0,0,Positive
3,0,0,0,0,Negative
3,0,0,0,0,Negative
1,0,0,0,0,Negative
1,0,0,0,0,Negative
0,0,0,0,0,Negative
1,2,0,0,0,Negative
1,2,0,0,0,Negative
1,0,0,0,0,Negative
0,0,0,0,0,Positive
2,1,0,0,0,Positive
2,1,0,0,0,Positive
0,0,0,0,0,Negative
1,0,0,0,0,Positive
1,0,0,0,0,Positive
1,1,0,0,0,Positive
1,1,0,0,0,Positive
2,0,0,0,0,Positive
2,0,0,0,0,Positive
0,0,0,0,0,Negative
0,0,0,0,0,Negative
2,0,0,0,0,Positive
1,0,0,0,0,Positive
1,0,0,0,0,Positive
5,1,0,0,0,Positive
5,1,0,0,0,Positive
2,1,0,0,0,Negative
2,1,0,0,0,Negative
2,0,0,0,0,Positive
2,0,0,0,0,Positive
1,0,0,0,0,Positive
1,0,0,0,0,Positive
1,0,0,0,0,Negative
2,0,0,0,0,Positive
2,0,0,0,0,Positive
2,0,0,0,0,Positive
2,0,0,0,0,Positive
3,0,0,0,0,Positive
3,0,0,0,0,Positive
0,1,0,0,0,Negative
0,1,0,0,0,Negative
0,0,0,0,0,Negative
0,0,0,0,0,Negative
2,0,0,0,0,Positive
2,0,0,0,0,Positive
2,0,0,0,0,Positive
2,0,0,0,0,Positive
0,0,0,0,0,Negative
0,0,0,0,0,Negative
1,1,0,0,0,Negative
1,1,0,0,0,Negative
1,0,0,0,0,Positive
1,0,0,0,0,Positive
1,0,0,0,0,Negative
1,0,0,0,0,Negative
0,1,0,0,0,Negative
0,1,0,0,0,Negative
0,1,0,0,0,Negative
0,1,0,0,0,Negative
0,2,0,0,0,Negative
0,2,0,0,0,Negative
0,0,0,0,0,Positive
0,0,0,0,0,Positive
0,0,0,0,0,Positive
0,1,0,0,0,Positive
0,1,0,0,0,Positive
2,1,0,0,0,Negative
2,1,0,0,0,Negative
1,0,0,0,0,Positive
1,0,0,0,0,Positive
0,0,0,0,0,Negative
0,0,0,0,0,Negative
0,0,0,0,0,Negative
0,0,0,0,0,Negative
0,1,0,0,0,Negative
1,0,0,0,0,Negative
1,1,0,0,0,Negative
1,1,0,0,0,Negative
0,0,0,0,0,Negative
0,0,0,0,0,Negative
0,0,0,0,0,Negative
1,0,0,0,0,Negative
1,0,0,0,0,Negative
0,0,0,0,0,Negative
0,0,0,0,0,Negative
2,0,0,0,0,Positive
2,0,0,0,0,Positive
0,0,0,0,0,Negative
0,0,0,1,0,Negative
1,1,0,0,0,Negative
1,1,0,0,0,Negative
0,0,0,0,0,Negative
0,0,0,0,0,Negative
0,0,0,0,0,Negative
0,0,0,0,0,Negative
0,0,0,0,0,Negative
0,0,0,0,0,Negative
0,0,0,0,0,Positive
0,0,0,0,0,Positive
0,0,0,0,0,Positive
0,0,0,0,0,Positive
0,0,0,0,0,Positive
0,0,0,0,0,Positive
2,0,0,0,0,Positive
0,0,0,0,0,Positive
0,0,0,0,0,Positive
0,1,0,0,0,Negative
0,1,0,0,0,Negative
2,0,0,0,0,Positive
2,0,0,0,0,Positive
0,0,0,0,0,Negative
0,0,0,0,0,Negative
2,0,0,0,0,Positive
2,0,0,0,0,Positive
3,0,0,0,0,Positive
3,0,0,0,0,Positive
3,0,0,0,0,Positive
5,0,0,0,0,Negative
5,0,0,0,0,Negative
4,0,0,0,0,Positive
4,0,0,0,0,Positive
1,0,0,0,0,Positive
1,0,0,0,0,Positive
3,0,1,0,0,Positive
3,0,1,0,0,Positive
1,2,0,0,0,Negative
1,2,0,0,0,Negative
3,0,0,0,0,Positive
3,0,0,0,0,Positive
1,0,0,0,0,Negative
1,0,0,0,0,Negative
1,1,0,0,0,Negative
1,1,0,0,0,Negative
1,0,0,0,0,Positive
1,0,0,0,0,Positive
1,0,0,0,0,Negative
1,0,0,0,0,Negative
2,0,0,0,0,Negative
1,0,0,0,0,Negative
1,0,0,0,0,Negative
0,1,0,0,0,Negative
0,1,0,0,0,Negative
0,0,0,0,0,Negative
2,0,0,0,0,Positive
2,0,0,0,0,Positive
1,1,0,0,0,Negative
1,1,0,0,0,Negative
1,0,0,0,0,Positive
1,0,0,0,0,Positive
1,0,0,0,0,Negative
1,0,0,0,0,Negative
2,0,0,0,0,Negative
2,0,0,0,0,Negative
0,0,0,0,0,Positive
2,1,0,0,0,Negative
2,1,0,0,0,Negative
0,0,0,0,0,Positive
0,0,0,0,0,Positive
0,0,0,0,0,Positive
0,0,0,0,0,Positive
